,tweet_id,follower_count,favourites_of_user_count,retweet_count,favourite_of_post_count
1957,800141422401830912,8709206,144674,2634,15765
1958,708479650088034305,8709216,144674,680,2569
1959,888917238123831296,8709203,144674,4147,27538
1960,675145476954566656,8709246,144674,884,2096
1961,666058600524156928,8709248,144674,54,107
1962,782598640137187329,8709209,144674,1927,8005
1963,684969860808454144,8709218,144674,370,2403
1964,866094527597207552,8709204,144674,7925,34450
1965,680494726643068929,8709244,144674,484,1736
1966,860276583193509888,8709205,144674,3346,17783
1967,707014260413456384,8709217,144674,598,2326
1968,672466075045466113,8709246,144674,517,1321
1969,848690551926992896,8709205,144674,4281,25079
1970,789960241177853952,8709206,144674,4260,10499
1971,673345638550134785,8709246,144674,1226,2450
1972,840698636975636481,8709205,144674,2,177
1973,748324050481647620,8709212,144674,772,3721
1974,826598799820865537,8709205,144674,257,5206
1975,689280876073582592,8709217,144674,715,2001
1976,772102971039580160,8709208,144674,954,4090
1977,672095186491711488,8709247,144674,360,982
1978,669564461267722241,8709891,144675,119,373
1979,817536400337801217,8709207,144674,3063,12052
1980,666033412701032449,8709248,144674,41,114
1981,685667379192414208,8709218,144674,572,2377
1982,746369468511756288,8709212,144674,1642,6236
1983,757354760399941633,8709209,144674,1446,4597
1984,676617503762681856,8709245,144674,954,2871
1985,672828477930868736,8709246,144674,474,1231
1986,667369227918143488,8709248,144674,154,352
1987,689154315265683456,8709217,144674,1007,3100
1988,796904159865868288,8709206,144674,9225,20285
1989,809084759137812480,8709206,144674,3633,13621
1990,683142553609318400,8709243,144674,1050,2893
1991,803692223237865472,8709206,144674,7675,19467
1992,811985624773361665,8709207,144674,1449,7466
1993,769335591808995329,8709208,144674,7897,14662
1994,700890391244103680,8709217,144674,571,2225
1995,666373753744588802,8709248,144674,85,173
1996,699072405256409088,8709217,144674,1201,3008
1997,880872448815771648,8709204,144674,3528,20144
1998,666437273139982337,8709248,144674,42,117
1999,679503373272485890,8709244,144674,1472,3175
2000,748705597323898880,8709212,144674,959,2808
2001,881633300179243008,8709204,144674,7,120
2002,709042156699303936,8709216,144674,1642,4775
2003,813051746834595840,8709207,144674,7595,21539
2004,834574053763584002,8709205,144674,2566,13822
2005,800513324630806528,8709206,144674,3088,13539
2006,679132435750195208,8709244,144674,1149,2974
2007,766078092750233600,8709208,144674,2686,7095
2008,720043174954147842,8709216,144674,2017,4925
2009,717537687239008257,8709216,144674,1854,5803
2010,668636665813057536,8709247,144674,478,1017
2011,740359016048689152,8709212,144674,873,3320
2012,817502432452313088,8709207,144674,3487,9414
2013,702684942141153280,8709217,144674,1077,3242
2014,720775346191278080,8709216,144674,667,2482
2015,666268910803644416,8709247,144674,32,96
2016,796387464403357696,8709206,144674,4296,11346
2017,740365076218183684,8709214,144674,434,2480
2018,760153949710192640,8709208,144674,31,206
